skill_number,version,name,school,type,cost,str_def,use,distance,rarity,skill_text,air,velocity,homing,recovery,notes
62,1,Laser Blade,Optical,Attack,3,2,0,short,5,,No,,,,
63,1,Photon Wave,Optical,Attack,4,4,0,mine,3,Explodes around self.,No,,,,
64,1,Photon Burst,Optical,Attack,7,7,0,mine,4,Explodes around self.,No,,,,
65,1,Laser,Optical,Attack,1,1,0,long,1,[Arc],,,,,
66,1,Slide Laser,Optical,Attack,2,2,0,long,2,[Arc],,,,,
67,1,Vibration Laser,Optical,Attack,1,3,0,long,2,[Arc] Requires: Level 10 or higher.,,,,,
68,1,Mist Laser,Optical,Attack,1,3,0,long,1,[Arc] Penalty: 1 Level,,,,,
69,1,Double Lasers,Optical,Attack,2,1,0,long,3,[Arc] Shoots 2 lasers simultaneously,Yes,4,3,3,
70,1,Triple Lasers,Optical,Attack,3,1,0,long,4,[Arc] Fires 3 lasers simultaneously,Yes,4,3,3,
71,1,Octolaser,Optical,Attack,8,1,0,long,5,[Arc] Fires 8 lasers simultaneously,Yes,4,3,3,
72,1,Trench Mortar,Optical,Attack,2,2,0,long,5,[Parabola],,,,,
73,1,Gungnir,Optical,Attack,X,X,0,medium,3,[Parabola] STR = Aura spent on skill. Hold button to charge.,,,,,
74,1,Finisher,Optical,Attack,0,X,1,long,4,STR = double your level. Penalty: Level reduced to 0 Requires: maximum Aura,,,,,
75,1,Rapid Cannon,Optical,Attack,2,1,0,long,4,,,,,,
76,1,Charged Particle,Optical,Attack,3,4,0,long,4,Penetrates obstacles. Penalty: 1 Level,,,,,
77,1,Ricochet Laser,Optical,Attack,7,2,0,long,2,Shoots 4 lasers that ricochet off objects.,,4,2,,
78,1,Bundled laser,Optical,Attack,3,X,1,long,3,STR = STR of all equipped laser,,,,,
79,1,Mist Blaster,Optical,Attack,2,4,0,medium,3,Penalty: 1 Level,,,,,
80,1,Blaster,Optical,Attack,4,4,0,medium,5,,,,,,
81,1,Vibration Blaster,Optical,Attack,4,6,0,medium,5,Requires: Level 10 or higher,,,,,
82,1,Bundled Blaster,Optical,Attack,5,X,1,medium,2,STR = STR of all equipped Blaster,,,,,
83,1,Compressor,Optical,Attack,5,X,0,medium,1,STR = the number of consumed defensive skills.,,,,,
84,1,Photon Shower,Optical,Attack,3,2,0,long,5,[Rain],No,,,,
85,1,Killer Satellite,Optical,Attack,5,6,0,long,3,[Rain],No,1,1,2,Will strike all targets in area of effect
86,1,Overheat,Optical,Attack,3,X,1,all,3,[Hole] STR = total Aura Particles on battlefield.,No,,,,
87,1,Flash Barrier,Optical,Defense,0,2,0,self,1,[Barrier],No,N/A,N/A,3,
88,1,Laser Barrier,Optical,Defense,1,4,0,self,2,[Barrier],No,N/A,N/A,3,
89,1,Eraser,Optical,Defense,2,3,1,self,4,[Barrier] Add: Erases any attack skill it blocks.,No,N/A,N/A,3,
90,1,Photon Barrier,Optical,Defense,2,1,0,self,3,[Barrier] Add: Retain if you have Aura to use again.,No,N/A,N/A,3,
91,1,Paralyze Barrier,Optical,Defense,4,2,0,self,3,[Barrier] Add: Target can't move for 3 sec.,No,N/A,N/A,3,
92,1,Reflect Barrier,Optical,Defense,1,4,1,self,4,[Reflect],No,N/A,N/A,3,
93,1,Reflect Mirror,Optical,Defense,4,4,0,self,5,[Reflect],No,N/A,N/A,3,
94,1,Laser Shell,Optical,Defense,2,4,0,self,1,[Shelter],No,N/A,N/A,3,
95,1,Auto Shell,Optical,Defense,3,3,1,self,3,[Shelter] Automatically projects when attacked.,No,N/A,N/A,5,
96,1,Interference,Optical,Erase,1,-,1,medium,3,Reduce target's level by 2.,,,,,
97,1,Restrain,Optical,Erase,4,-,0,medium,4,Reduces target's Level by 1. Penalty: 1 level.,,,,,
98,1,Panic Gas,Optical,Erase,4,-,1,mine,4,Detonates when target enters blast area; reduces target's Level by 50%.,No,,,,
99,1,Eliminate,Optical,Erase,2,-,0,capsule,1,Erases Aura Particle you are touching.,No,,,,
100,1,Evaporate,Optical,Erase,3,-,1,capsule,3,Erases all Aura Particles from battlefield.,No,,,,
101,1,Particle Convert,Optical,Erase,4,-,1,capsule,2,Converts all capsules on battle field to Aura Particles.,No,,,,
102,1,Meltdown,Optical,Erase,3,-,1,all,2,Reduces everyone's Level by 2 for each of their Aura Particles on battlefield.,No,,,,
103,1,Quantum Decay,Optical,Erase,4,-,1,all,4,Reduces everyone's Level by 50%.,No,,,,
104,1,Disintegrate,Optical,Erase,6,-,1,all,5,[Hole] Reduces everyone's Level to 0.,No,,,,
105,1,Holy Ray,Optical,Environment,3,-,1,env,1,Reduces damage of everyone's attack by 1.,No,N/A,N/A,4,
106,1,Reduce Entropy,Optical,Environment,3,-,1,env,1,Prohibits skills with Aura cost of 3 or more (or X).,No,N/A,N/A,4,
107,1,Accelerate,Optical,Environment,4,,1,env,4,Skill capsule spawn twice as fast.,No,N/A,N/A,4,
108,1,Backdraft,Optical,Environment,4,-,1,env,1,Causes everyone to lose 1 Health for each skill use.,No,N/A,N/A,4,
109,1,Optimization,Optical,Environment,5,-,1,env,3,Reduces Aura cost for all skills by 50%.,No,N/A,N/A,4,
110,1,Scientism,Optical,Environment,5,-,1,env,4,Prevents everyone from using Faith skills for 1 min.,No,N/A,N/A,4,
111,1,Quiet Days,Optical,Environment,5,-,1,env,1,Everyone's skill capsules take twice as long to spawn.,No,N/A,N/A,4,
112,1,Paralyze,Optical,Status,4,-,0,medium,5,Prevents target from moving for 3 sec.,No,4,5,3,"Due to its tracking, it will hit at Long range"
113,1,Doze,Optical,Status,5,-,1,medium,2,Reduces damage of target's attack by 1.,,,,,
114,1,Gravity Mine,Optical,Status,5,-,0,mine,5,Detonates when anyone enters blast area; reduces movement speed by 90%.,No,,,,
115,1,Optical Camo,Optical,Status,4,-,1,self,4,Add: Invisibility; no one can lock onto you for 15 sec.,No,,,,"No Use time or Delay, instantaneous"
116,1,Level Berserk,Optical,Special,2,-,1,medium,4,Doubles target's Level.,No,,,,
117,1,Level Amp,Optical,Special,3,-,1,self,3,Increases your level by 2.,No,N/A,N/A,3,
118,1,Relearn,Optical,Special,3,-,1,self,5,Automatically captures last skill consumed.,No,,,,
119,1,Recall,Optical,Special,5,-,1,self,3,Restores 5 random consumed skills to your arsenal. Requires: Level >10,No,,,,
120,1,Level Boost,Optical,Special,7,-,1,self,2,Doubles your Level. Requires: Level >10,No,,,,
121,1,Ice Sword,Nature,Attack,2,2,0,short,4,Add: Freezes target's skill button for 10 sec. Penalty: Aura cost +1 per use.,No,,,,
122,1,Lightning Sword,Nature,Attack,2,3,0,short,2,Add: Erases 1 equipped defensive skill from target. Penalty: Aura cost +1 per use.,No,,,,
123,1,Flame Sword,Nature,Attack,3,3,0,short,2,,No,,,,
124,1,Blazing Sword,Nature,Attack,3,5,0,short,3,Requires: Health 15 or higher,No,,,,
125,1,Vacuum Slash,Nature,Attack,3,7,1,short,3,Add: Pierce effect,No,,,,
126,1,Sonic Boom,Nature,Attack,1,1,0,medium,1,[Arc],,,,,
127,1,Piece of Ice,Nature,Attack,0,2,1,medium,1,Add: Freezes target's skill buttons for 10 sec.,,,,,
128,1,Piece of Thunder,Nature,Attack,0,2,1,medium,1,Add: Erases 1 defensive skill from target's equipped skills.,,,,,
129,1,Piece of Fire,Nature,Attack,0,3,1,medium,1,,,,,,
130,1,Bullet of Fire,Nature,Attack,2,2,0,medium,1,,Yes,3,3,3,
131,1,Blazing Bullet,Nature,Attack,2,3,0,medium,1,Requires: Health 15 or higher,,,,,
132,1,Scar of Battles,Nature,Attack,2,X,1,medium,3,STR = number of consumed attack skills.,,,,,
133,1,Ice Lance,Nature,Attack,2,2,0,medium,3,Add: Freezes target's skill buttons for 10 sec. Penalty: Aura cost +1 per use.,,,,,
134,1,Storm Blade,Nature,Attack,5,2,0,medium,5,Add: Erases 1 equipped attack skill from target. Penalty: Aura cost +1 per use.,,,,,
135,1,Lightning Blade,Nature,Attack,5,3,0,medium,1,Add: Erases 1 equipped defensive skill from target. Penalty: Aura cost +1 per use.,,,,,
136,1,Memory of Battle,Nature,Attack,5,X,0,medium,5,STR = number of consumed attack skills.,,,,,
137,1,Crystallization,Nature,Attack,5,X,0,medium,1,STR = STR of all your equipped Piece skills.,,,,,
138,1,Root of Tree,Nature,Attack,2,6,1,long,1,[Crawl] Add: Pierce effect,,,,,
139,1,Fang of Tree,Nature,Attack,3,8,1,long,4,[Crawl] Add: Pierce effect,,,,,
140,1,Twister,Nature,Attack,4,4,0,medium,2,[Move],,,,,
141,1,Whirlwind,Nature,Attack,7,7,0,medium,5,[Move],,,,,
142,1,Lightning Bolt,Nature,Attack,1,4,1,medium,1,[Rain] Add: Erases 1 equipped defensive skill from target.,No,,,,
143,1,Ice Storm,Nature,Attack,2,4,1,medium,4,[Rain] Add: Freezes target's skill button for 10 sec.,No,,,,
144,1,Fire Storm,Nature,Attack,3,3,0,medium,2,[Rain],No,,,,
145,1,Thunder Storm,Nature,Attack,3,5,1,medium,2,[Rain] Add: Erases all equipped defensive skills from target.,No,,,,
146,1,Blazing Storm,Nature,Attack,3,5,0,medium,4,[Rain] Requires: Health 15 or higher,No,,,,
147,1,Tremor,Nature,Attack,3,3,1,all,2,[Hole],No,,,,
148,1,Massive Quake,Nature,Attack,6,6,1,all,5,[Hole],No,,,,
149,1,Glacial Wall,Nature,Defense,2,3,0,self,2,[Barrier] Add: Freezes target's skill button for 10 sec.,No,N/A,N/A,3,
150,1,Wall of Current,Nature,Defense,2,4,0,self,4,[Barrier] Add: Erases any short-range attack it blocks.,No,N/A,N/A,3,
151,1,Wall of Fire,Nature,Defense,2,6,0,self,2,[Barrier],No,N/A,N/A,3,
152,1,Cyclone,Nature,Defense,3,8,1,self,2,[Barrier] Add: Erases any attack skill it blocks.,No,N/A,N/A,3,
153,1,Vacuum Wall,Nature,Defense,6,4,0,self,3,[Barrier] Add: Erases any attack skill it blocks.,No,N/A,N/A,3,
154,1,Guard of Water,Nature,Defense,2,5,1,self,5,[Shelter] Automatically projects when attacked. Add: Erases any short-range attack skill it blocks.,No,N/A,N/A,5,
155,1,Fortress of Iron,Nature,Defense,4,7,0,self,1,[Shelter] Add: Erases any short-range attack skill it blocks.,No,N/A,N/A,3,
156,1,Gust,Nature,Defense,2,-,0,self,3,[Course],No,N/A,N/A,3,
157,1,Wind Pressure,Nature,Erase,3,-,1,medium,2,Erases all of target's equipped non-attack and non-defensive skills.,No,,,,
158,1,Abyss,Nature,Erase,0,-,1,capsule,1,Erases capsule you are touching.,No,,,,
159,1,Starting Point,Nature,Erase,1,-,1,all,5,Erases Environmental crystals from battlefield.,No,,,,
160,1,Return to Nature,Nature,Erase,3,-,1,all,3,Cancels Environmental effects and resets everyone's status and attributes to their initial state.,No,,,,
161,1,Turbulence,Nature,Erase,5,-,1,all,1,Erases everyone's equipped non-attack and non-defensive skills.,No,,,,
162,1,Purify,Nature,Erase,3,-,0,all,4,Resets everyone's status and attributes to their initial state.,No,,,,
163,1,Desertification,Nature,Environment,2,-,1,env,4,Slows everyone's Aura recovery speed by 30%.,No,N/A,N/A,4,
164,1,Nature Blessing,Nature,Environment,2,-,1,env,4,Everyone gains +1 Health for each Aura Particle they capture.,No,N/A,N/A,4,
165,1,Forest Sanctuary,Nature,Environment,2,-,1,env,1,Prohibits use of attack skills that deal >3 damage or STR = X.,No,N/A,N/A,4,
166,1,Dense Fog,Nature,Environment,3,-,1,env,2,Reduces everyone's homing accuracy by 30%,No,N/A,N/A,4,
167,1,Berserk,Nature,Environment,3,-,1,env,5,All attack skills gain Pierce effect.,No,N/A,N/A,4,
168,1,Commandments,Nature,Environment,4,-,1,env,2,Prevents everyone from using Erase skills for 1 min.,No,N/A,N/A,4,
169,1,Providence,Nature,Environment,5,-,1,env,5,Prevents everyone from using Psycho skills for 1 min.,No,N/A,N/A,4,
170,1,Frostbite,Nature,Status,6,-,1,short,5,Prevents target from using skill assigned to the same button.,No,,,,
171,1,Friendship,Nature,Status,2,-,1,medium,3,Incrases by 1 damage delt by target,,,,,
172,1,Decoy,Nature,Status,2,-,0,medium,3,Target can only lock on to you for 15 sec.,,,,,
173,1,Entangle,Nature,Status,5,-,0,medium,2,[Crawl] Prevents target from moving or using skills for 3 sec.,,,,,
174,1,Curse of Earth,Nature,Status,4,-,1,medium,3,[Crawl] Reduces damage of target's attack by 1.,,,,,
175,1,Heat,Nature,Status,4,-,1,self,3,Increases damage of your attacks by 1. Decreases your Aura recovery speed by 10%,No,,,,
176,1,Stimulate,Nature,Status,7,-,1,self,5,Increases damage of your attacks by 2. Decreases your Aura recovery speed by 30%.,No,,,,
177,1,Blessed Water,Nature,Special,3,-,1,medium,1,Target gains 5 Health.,No,,,,
178,1,Graceful Woods,Nature,Special,1,-,1,self,2,Restores Aura to maximum.,No,,,,
179,1,Healing Water,Nature,Special,4,-,1,self,1,Restores 5 Health.,No,,,,
180,1,Orb,Nature,Special,2,-,0,self,4,Automatically negates any Erase skill used. Can't by erased or overwritten.,Yes,N/A,N/A,1,You must NOT of been the caster of the erase skill
181,1,Empty Hand,Ki,Attack,1,2,1,short,1,Add: Auto-Capture effect,No,,,,
182,1,Swift Kick,Ki,Attack,1,4,1,short,2,Requires: Level 2 or lower,No,,,,
183,1,Leg Throw,Ki,Attack,2,0,0,short,4,Knocks down target.,No,,,,
184,1,Tiger Kick,Ki,Attack,2,1,1,short,5,Add: Erases 1 equipped attack skill from target.,No,,,,
185,1,High-speed Punch,Ki,Attack,2,1,0,short,4,,No,N/A,N/A,5,Can hit 5 times before taget knockdown
186,1,Hyperkick,Ki,Attack,2,2,0,short,2,,No,,,,
187,1,Dragon Punch,Ki,Attack,2,3,1,short,1,Add: Erases 1 equipped defensive skill from target.,No,,,,
188,1,Hyperpunch,Ki,Attack,2,3,1,short,2,Add: Auto-Capture effect,No,,,,
189,1,Swift Punch,Ki,Attack,2,4,0,short,3,Requires: Level 2 or lower,No,,,,
190,1,Splashdown,Ki,Attack,2,5,1,short,3,,No,,,,
191,1,Swift Blow,Ki,Attack,2,7,1,short,1,Requires: Level 2 or lower,No,,,,
192,1,Dance of Death,Ki,Attack,5,X,0,short,4,STR = STR of all equipped short-ranged Ki attack.,No,N/A,N/A,3,
193,1,Aura Leak,Ki,Attack,2,X,0,short,5,STR = 50% of target's Aura.,No,,,,
194,1,Aura Backflow,Ki,Attack,4,X,0,short,4,STR = target's Aura.,No,,,,
195,1,Ki Palm,Ki,Attack,X,X,0,short,5,STR = Aura spent on this skill. Hold button to charge.,No,,,,
196,1,Sky Pursuit,Ki,Attack,0,3,1,short,3,Requires: Knocked down target. Add: Auto-Capture effect.,No,,,,
197,1,Pursuit,Ki,Attack,3,3,0,short,1,Requires: Knocked down target,No,,,,
198,1,Snap,Ki,Attack,2,0,0,medium,1,Knocks down target.,,,,,
199,1,Ki Lance,Ki,Attack,2,5,1,medium,3,Add: Pierce effect,,,,,
200,1,Ki Bullet,Ki,Attack,3,1,0,medium,2,Knocks down target.,,,,,
201,1,Heat from Void,Ki,Attack,3,X,0,medium,5,STR = double target's unassigned skill buttons.,,,,,
202,1,Hyper Ki Lance,Ki,Attack,4,7,1,medium,4,Add: Pierce effect,,,,,
203,1,Hyper Ki Bullet,Ki,Attack,5,3,0,medium,1,Knocks down target.,,,,,
204,1,Ki Cannon,Ki,Attack,X,X,0,medium,4,STR = Aura spent on this skill. Hold button to charge.,No,4,2,3,
205,1,Copy,Ki,Attack,0,X,1,-,1,Duplicates last attack skill that inflicted damage on you.,,,,,Is not restricted by requirments of copied skill
206,1,Recollection,Ki,Attack,2,X,1,-,2,Duplicates last attack skill you used.,,,,,Is not restricted by requirments of copied skill
207,1,Iron Skin,Ki,Defense,1,3,0,self,1,[Shelter] Add: Erases any short-range attack skill it blocks.,No,N/A,N/A,3,
208,1,Mind's Eye,Ki,Defense,2,5,1,self,3,[Shelter] Automatically projects when attacked.,No,N/A,N/A,5,
209,1,Block,Ki,Defense,0,2,0,self,1,[Brush],No,N/A,N/A,3,
210,1,Protect,Ki,Defense,1,4,0,self,2,[Brush],No,N/A,N/A,3,
211,1,Guard,Ki,Defense,2,6,0,self,3,[Brush],No,N/A,N/A,3,
212,1,Absorb Energy,Ki,Defense,2,4,0,self,1,[Absorb] Add: Aura increase = Aura cost of attack skill blocked.,No,N/A,N/A,3,
213,1,Learning,Ki,Defense,3,6,1,self,2,[Absorb] Add: Captures attack skill it blocks.,No,N/A,N/A,3,
214,1,Digestion,Ki,Defense,3,2,0,self,3,[Absorb] Add: Health increase = damaged blocked.,No,N/A,N/A,3,
215,1,Disrupt,Ki,Erase,3,-,1,short,4,Erases all of target's equipped attack skills.,No,,,,
216,1,Tiger Slayer,Ki,Erase,2,-,1,medium,3,Erases 1 of target's equipped attack skills.,,,,,
217,1,Dragon Slayer,Ki,Erase,2,-,1,medium,4,Erases 1 of target's equipped defensive skills. Penetrates defensive skills.,,,,,
218,1,Giant Slayer,Ki,Erase,3,-,1,medium,1,Erases target's equipped skill with highest Aura cost.,,,,,
219,1,Neutralization,Ki,Erase,1,-,0,medium,3,Resets target's status and attributes to their initial state.,,,,,
220,1,Steal Power,Ki,Erase,3,-,1,medium,2,Absorbs all target's Aura.,No,,,,
221,1,Lack,Ki,Erase,4,-,1,medium,5,Erases all of target's equipped unlimited-use skills.,,,,,
222,1,Exhaust,Ki,Erase,4,-,1,medium,1,Reduces target's Level by 50%.,,,,,
223,1,Refresh,Ki,Erase,0,-,0,self,2,Resets your status and attributes to their initial state.,No,,,,
224,1,Fatigue,Ki,Environment,2,-,1,env,1,Everyone's Aura recovery ceases while moving.,No,N/A,N/A,4,
225,1,Irregular Rhythm,Ki,Environment,3,-,1,env,1,Doubles Aura cost for all skills.,No,N/A,N/A,4,
226,1,Memory Lapse,Ki,Environment,3,-,1,env,1,All skills become single-use.,No,N/A,N/A,4,
227,1,Soul Cage,Ki,Environment,4,-,1,env,4,Everyone loses 1 Health for each capsule they capture.,No,N/A,N/A,4,
228,1,Chaos,Ki,Environment,4,-,1,env,3,Prohibits skills with Aura cost of 2 or lower (or X).,No,N/A,N/A,4,
229,1,Stagnant Air,Ki,Environment,5,-,1,env,4,Prevents everyone from using Nature skills for 1 min.,No,N/A,N/A,4,
230,1,Pin Down,Ki,Status,6,-,0,medium,5,[Hole] Prevents target from moving or using skills for 3 sec.,No,,,,
231,1,Mind Reading,Ki,Status,2,-,1,self,3,Listen in on target team's conversation.,No,N/A,N/A,N/A,"No Target Required, Only effects caster"
232,1,Tiger's Strength,Ki,Status,2,-,0,self,1,Increases damage of your attacks by 2 for 15 sec.,No,,,,
233,1,Lightning Speed,Ki,Status,2,-,0,self,3,Increases your movement speed by 50% for 15 sec.,No,,,,
234,1,Meditation,Ki,Status,4,-,1,self,2,Increases Aura recovery speed by 20%.,No,,,,
235,1,Void,Ki,Status,4,-,1,self,1,Immunity to attack damage for 15 sec.,,,,,
236,1,Trigger,Ki,Special,4,-,0,medium,1,Forces target to use equipped skill assigned to same button.,No,4,4,3,
237,1,Change the World,Ki,Erase,6,-,1,capsule,3,Respawns new capsules for everyone.,No,N/A,N/A,3,
238,1,Regenerate,Ki,Special,6,-,1,self,5,Regenerates Health while immobile.,No,N/A,N/A,3,
239,1,Jump ,Ki,Special,1,-,5,self,2,Jump 30 ft.,No,N/A,N/A,2,
240,1,Dash,Ki,Special,2,-,0,self,2,Dash 30 ft.,No,N/A,N/A,3,
241,1,Dhampir Claw,Faith,Attack,4,1,0,short,2,Add: Health increase = damage dealt.,No,,,,
242,1,Dhampir Fang,Faith,Attack,6,2,0,short,1,Add: Health increase = damage dealt.,No,,,,
243,1,Song of Succubus,Faith,Attack,3,2,1,short,4,Add: Level increase = damage dealt. Target's Level decreases by same number.,No,,,,
244,1,Succubus Tempt,Faith,Attack,6,3,1,short,5,Add: Level increase = damage dealt. Target's Level decreases by same number.,No,,,,
245,1,Muramasa Blade,Faith,Attack,6,10,1,short,5,Penalty: 2 Health,No,,,,
246,1,Lingering Flame,Faith,Attack,0,1,0,medium,2,Requires: Health 7 or lower,Yes,2,5,5,
247,1,Scream of Evil,Faith,Attack,0,1,0,medium,3,Penetrates obstacles. Penalty: 2 Health,,,,,
248,1,Greedy Spirit,Faith,Attack,0,2,1,medium,3,Add: Reduces target's Aura to 0.,,,,,
249,1,Agonies of Death,Faith,Attack,0,6,1,medium,2,Penetrates obstacles. Requires: Health 7 or lower.,,,,,
250,1,Seal of Death,Faith,Attack,2,2,0,medium,1,Can't be erased or overwritten. Penalty: 1 Health.,Yes,2,5,4,
